Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Energy Star	Energy Star	max 1	Quantity Constraint	Quantity: max 1
Processor	Processors	min 1, Required	Quantity Constraint	Quantity: min 1, Required
Unknown	Heatsink Kit	max 2	Quantity Constraint	Quantity: max 2
Memory	Memory	max 32	Quantity Constraint	Quantity: max 32
Memory	Memory Blank Kit	max 99	Quantity Constraint	Quantity: max 99
Storage Devices	SAS Controller	max 3	Quantity Constraint	Quantity: max 3
Storage Devices	Smart Storage Battery	max 2	Quantity Constraint	Quantity: max 2
Storage Devices	Internal Storage Controller Cables	max 2	Quantity Constraint	Quantity: max 2
Storage Devices	RAID Settings	max 1	Quantity Constraint	Quantity: max 1
Storage Devices	Drive Cage	max 2	Quantity Constraint	Quantity: max 2
Storage Devices	Optical Drive	max 1	Quantity Constraint	Quantity: max 1
Factory Configuration Settings	BIOS Mode	max 1	Quantity Constraint	Quantity: max 1
Factory Configuration Settings	Factory Configuration Settings	max 1	Quantity Constraint	Quantity: max 1
Factory Configuration Settings	iLO Common Password	max 1	Quantity Constraint	Quantity: max 1
Factory Configuration Settings	Logical Size Settings	max 1	Quantity Constraint	Quantity: max 1
Factory Configuration Settings	Trusted Supply Chain	max 1	Quantity Constraint	Quantity: max 1
Factory Configuration Settings	vSAN Tracking SKUs	max 1	Quantity Constraint	Quantity: max 1
Factory Configuration Settings	Memory Setting	max 1	Quantity Constraint	Quantity: max 1
Factory Configuration Settings	Riser Cards	max 2	Quantity Constraint	Quantity: max 2
OS Boot Device	OS Boot Device	max 2	Quantity Constraint	Quantity: max 2
Networking	InfiniBand PCIe	max 2	Quantity Constraint	Quantity: max 2
Networking	Ethernet PCIe	max 2	Quantity Constraint	Quantity: max 2
Networking	OCP Ethernet	max 2	Quantity Constraint	Quantity: max 2
Networking	Fibre Channel HBA	max 2	Quantity Constraint	Quantity: max 2
Networking	Transceivers	max 12	Quantity Constraint	Quantity: max 12
Transceivers	Upgrades	max 2	Quantity Constraint	Quantity: max 2
Transceivers	OCP Infiniband	max 2	Quantity Constraint	Quantity: max 2
Transceivers	Power Supplies	max 2	Quantity Constraint	Quantity: max 2
Power Supplies	Power Cooling Options	max 2	Quantity Constraint	Quantity: max 2
Accessories	Power Cords	max 2	Quantity Constraint	Quantity: max 2
Security Options	Security Hardware	max 3	Quantity Constraint	Quantity: max 3
Security Options	Management Hardware	max 1	Quantity Constraint	Quantity: max 1
Manufacturing Services	Manufacturing Services	max 1	Quantity Constraint	Quantity: max 1
