Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Processor	Processor	max 2	Quantity Constraint	Quantity: max 2
Memory	Memory	max 32	Quantity Constraint	Quantity: max 32
Memory	Memory Blank Kit	max 1	Quantity Constraint	Quantity: max 1
Networking	Ethernet PCIe	max 5	Quantity Constraint	Quantity: max 5
Networking	InfiniBand PCIe	max 3	Quantity Constraint	Quantity: max 3
Networking	Transceivers	max 16	Quantity Constraint	Quantity: max 16
Networking	Fibre Channel HBA	max 3	Quantity Constraint	Quantity: max 3
Networking	OCP Ethernet	max 2	Quantity Constraint	Quantity: max 2
Networking	Networking Accessories	max 1	Quantity Constraint	Quantity: max 1
Power Supplies	Power Supplies	max 2	Quantity Constraint	Quantity: max 2
HPE Compute Ops Management	Compute Ops Management SKUs	min 1, Required	Quantity Constraint	Quantity: min 1, Required
Chassis	Variants	min 1, max 1 — Active OCA CTO chassis	Configuration Rule	Select exactly one currently discoverable, non-TAA/non-GTA CTO base chassis
Accessories & Infrastructure	Energy Star Configuration Presets	max 1	Configuration Rule	Selection constraint for Energy Star Configuration Presets: max 1
Processor	Processor	max 2	Configuration Rule	Selection constraint for Processor: max 2
Cooling / Thermal	Heatsink Kit	max 2	Configuration Rule	Selection constraint for Heatsink Kit: max 2
Cooling / Thermal	Standard & Performance Heat Sinks	max 6	Configuration Rule	Mixing of Heat sink is not allowed.
Memory	Memory	max 32	Configuration Rule	Selection constraint for Memory: max 32
Memory	Memory	max 32	Configuration Rule	Mixing of x4 and x8 memory is not allowed
Memory	Memory	max 32	Configuration Rule	These products are hidden due to Supply constraints
Memory	Memory	max 32	Configuration Rule	96GB Memory cannot be mixed with any other Memory.
Memory	Memory	max 32	Configuration Rule	128GB Memory cannot be mixed with any other Memory.
Memory	Memory	max 32	Configuration Rule	Mixing of 3DS and non 3DS memory is not allowed.
Memory	Memory Blank Kit	max 1	Configuration Rule	Selection constraint for Memory Blank Kit: max 1
Drive Enclosures / Drives	Drive Cage	max 9	Configuration Rule	Selection constraint for Drive Cage: max 9
Drive Enclosures / Drives	Drive Cage	max 9	Configuration Rule	Supported with EDSFF CTO Server only.
Drive Enclosures / Drives	Drive Cage	max 9	Configuration Rule	Supported with 8LFF and 12LFF CTO Server only.
Drive Enclosures / Drives	SFF Drive Cages & Enablement	max 1	Configuration Rule	Supported with 8LFF CTO Server only.
Cables & Enablement Kits	Tertiary PCIe Risers	no max	Configuration Rule	Define connection for 8SFF x4 Cage only needed if cage is selected.
PCIe Risers	Riser Cards	required	Configuration Rule	Selection constraint for Riser Cards: required
PCIe Risers	Tertiary PCIe Risers	max 3	Configuration Rule	Tertiary x8x16 Riser and OCPA x16/ CPU1 OCPB x8 cannot be selected together.
PCIe Risers	Primary PCIe Risers	max 3	Configuration Rule	Supported with EDSFF CTO Server only.
PCIe Risers	Riser Accessories	max 6	Configuration Rule	Selection constraint for Riser Accessories: max 6
Storage Controllers	SAS Controller	max 5	Configuration Rule	Selection constraint for SAS Controller: max 5
Storage Controllers	SAS Controller	max 5	Configuration Rule	These products are hidden due to Supply constraints
Accessories & Infrastructure	AmbientTemperature	required	Configuration Rule	Selection constraint for AmbientTemperature: required
Cables & Enablement Kits	Smart Storage Batteries	max 2	Configuration Rule	Selection constraint for Smart Storage Batteries: max 2
Storage Controllers	Internal Storage Controller Cables	max 3	Configuration Rule	Selection constraint for Internal Storage Controller Cables: max 3
Storage Controllers	Storage Controller Cable Kits	max 4	Configuration Rule	Supported with 8LFF and 12LFF CTO Server only.
Drive Enclosures / Drives	SFF Drive Cages & Enablement	max 24	Configuration Rule	Supported with 8LFF CTO Server only and requires 2SFF SBS Cage.
Cables & Enablement Kits	System Options		Configuration Rule	Supported with 12EDSFF CTO Server only.
Storage Controllers	RAID Settings	max 1	Configuration Rule	Selection constraint for RAID Settings: max 1
Drive Enclosures / Drives	Optical Drive	max 1	Configuration Rule	Selection constraint for Optical Drive: max 1
Drive Enclosures / Drives	Optical Drive	max 1	Configuration Rule	BTO products are not allowed in CTO Base Model.
Cables & Enablement Kits	Optical Drive Accessories	max 2	Configuration Rule	Selection constraint for Optical Drive Accessories: max 2
Cables & Enablement Kits	Compute Ops Management Enablement SKUs	max 1	Configuration Rule	Supported with 8LFF CTO Server only.
Memory	Memory Blank Kit	max 1	Configuration Rule	BTO products are not allowed in CTO Base Model.
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	max 3	Configuration Rule	Selection constraint for Chassis Infrastructure & Rail Kits: max 3
Cables & Enablement Kits	Factory Configuration Settings	max 1	Configuration Rule	Selection constraint for Factory Configuration Settings: max 1
Accessories & Infrastructure	Trusted Supply Chain	max 1	Configuration Rule	Selection constraint for Trusted Supply Chain: max 1
Drive Enclosures / Drives	Drive Configuration Settings	max 1	Configuration Rule	Selection constraint for Drive Configuration Settings: max 1
Drive Enclosures / Drives	Storage Controller Cable Kits	max 1	Configuration Rule	Selection constraint for Storage Controller Cable Kits: max 1
Drive Enclosures / Drives	Drive Cage	max 9	Configuration Rule	Supported with 12EDSFF CTO Server only.
Accessories & Infrastructure	Logical Size Settings	max 1	Configuration Rule	Selection constraint for Logical Size Settings: max 1
Software & Licenses	Server Management & Operating System Licenses	max 1	Configuration Rule	Selection constraint for Server Management & Operating System Licenses: max 1
Accessories & Infrastructure	vSAN Tracking SKUs	max 1	Configuration Rule	Selection constraint for vSAN Tracking SKUs: max 1
Software & Licenses	vSAN Tracking SKUs	max 1	Configuration Rule	Selection constraint for vSAN Tracking SKUs: max 1
Software & Licenses	iLO Common Password	max 1	Configuration Rule	Selection constraint for iLO Common Password: max 1
Networking	Ethernet PCIe	max 5	Configuration Rule	Selection constraint for Ethernet PCIe: max 5
Networking	InfiniBand PCIe	max 3	Configuration Rule	Selection constraint for InfiniBand PCIe: max 3
Networking	Transceivers	max 16	Configuration Rule	Selection constraint for Transceivers: max 16
Networking	PCIe Networking Adapters	max 8	Configuration Rule	These products are hidden due to Supply constraints
Networking	Fibre Channel HBA	max 3	Configuration Rule	Selection constraint for Fibre Channel HBA: max 3
Networking	OCP Ethernet	max 2	Configuration Rule	Selection constraint for OCP Ethernet: max 2
Networking	OCP3 Networking Adapters	max 1	Configuration Rule	Private Product is not valid for current customer account
Cables & Enablement Kits	Energy Star	max 1	Configuration Rule	BTO products are not allowed in CTO Base Model.
Cables & Enablement Kits	OCP3 Networking Adapters	max 2	Configuration Rule	Selection constraint for OCP3 Networking Adapters: max 2
Networking	Networking Accessories	max 1	Configuration Rule	Selection constraint for Networking Accessories: max 1
Accessories & Infrastructure	Energy Star	max 1	Configuration Rule	Private Product is not valid for current customer account
Cables & Enablement Kits	Management Hardware	max 1	Configuration Rule	Selection constraint for Management Hardware: max 1
Memory	Memory Setting	max 1	Configuration Rule	Selection constraint for Memory Setting: max 1
Cables & Enablement Kits	Solid State Drives (NVMe/SAS/SATA)	max 3	Configuration Rule	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 3
Accessories & Infrastructure	Accessories & Infrastructure Options	max 3	Configuration Rule	Selection constraint for Manufacturing Services: max 3
Graphics & GPU	Graphics	max 5	Configuration Rule	Selection constraint for Graphics: max 5
Graphics & GPU	GPU Accelerators	no max	Configuration Rule	RTX Pro 6000/ RTX Pro 6000D/ H200 NVL GPU and 30C Ambient Temperature cannot be selected together.
Graphics & GPU	NVIDIA GPU SW	no max	Configuration Rule	Private Product is not valid for current customer account
Graphics & GPU	Graphics Accessories	max 3	Configuration Rule	Selection constraint for Graphics Accessories: max 3
Power Supplies	Power Supplies	max 2	Configuration Rule	Selection constraint for Power Supplies: max 2
Processor	Intel Xeon Scalable Processors	min 1, max 2	Configuration Rule	Mixing of Power supplies are not allowed.
Power Supplies	-48VDC Power Supplies & Cable Kits	min 1, max 2	Configuration Rule	If AC Power Supply is selected then only AC Power Cords should be in the drop-down.
Cooling / Thermal	Power Cooling Options	max 3	Configuration Rule	Selection constraint for Power Cooling Options: max 3
Power Supplies	-48VDC Power Supplies & Cable Kits	min 1, max 2	Configuration Rule	HPE 1600W -48VDC Pwr Cbl Lug Kit(P36877-B21) Supported only with HPE 1600W FS -48VDC Ht Plg PS Kit (P17023-B21).
Cables & Enablement Kits	Power Cords	max 2	Configuration Rule	Selection constraint for Power Cords: max 2
Cables & Enablement Kits	Power Cords & Jumper Cables	max 1	Configuration Rule	Max quantity of product limited by space available.
Cables & Enablement Kits	Power Cords & Jumper Cables	max 1	Configuration Rule	BTO products are not allowed in CTO Base Model.
Software & Licenses	Proliant Software Media Kits	no max	Configuration Rule	Not Supported ProStack Server Software
Accessories & Infrastructure	Accessories & Infrastructure Options	no max	Configuration Rule	Selection constraint for HPC Software Products: no max
Software & Licenses	HPC Software Products	no max	Configuration Rule	Selection constraint for HPC Software Products: no max
Software & Licenses	High Availability Computing - Cluster Software	no max	Configuration Rule	Selection constraint for High Availability Computing - Cluster Software: no max
Software & Licenses	Partner Software - Operating System	no max	Configuration Rule	Selection constraint for Partner Software - Operating System: no max
