Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Processor	Processors	max 2	Quantity Constraint	Quantity: max 2
Memory	Memory	max 32	Quantity Constraint	Quantity: max 32
Memory	Memory Blank Kit	max 1	Quantity Constraint	Quantity: max 1
Networking	InfiniBand PCIe	max 3	Quantity Constraint	Quantity: max 3
Networking	Ethernet PCIe	max 3	Quantity Constraint	Quantity: max 3
Networking	OCP Ethernet	max 2	Quantity Constraint	Quantity: max 2
Networking	Fibre Channel HBA	max 3	Quantity Constraint	Quantity: max 3
Networking	Transceivers	max 16	Quantity Constraint	Quantity: max 16
HPE Compute Ops Management	Compute Ops Management SKUs	min 1, Required	Quantity Constraint	Quantity: min 1, Required
Chassis	Variants	min 1, max 1 — Active OCA CTO chassis	Configuration Rule	Select exactly one currently discoverable, non-TAA/non-GTA CTO base chassis
Accessories & Infrastructure	Energy Star Configuration Presets	max 1	Configuration Rule	Selection constraint for Energy Star Configuration Presets: max 1
Processor	Processors	max 2	Configuration Rule	Selection constraint for Processors: max 2
Cooling / Thermal	Heatsink Kit	max 2	Configuration Rule	Selection constraint for Heatsink Kit: max 2
Cooling / Thermal	Standard & Performance Heat Sinks	max 6	Configuration Rule	Mixing of Heat sink is not allowed.
Memory	Memory	max 32	Configuration Rule	Selection constraint for Memory: max 32
Memory	Memory	max 32	Configuration Rule	Supports only PC5-4800B Memory
Memory	Memory	max 32	Configuration Rule	These products are hidden due to Supply constraints
Memory	Memory	max 32	Configuration Rule	Mixing of different Rank memory is allowed only if max Qty is selected per processor (i.e. For 1Processor it is 16 and for 2 Processor it is 32).
Memory	Memory	max 32	Configuration Rule	96GB Memory cannot be mixed with any other Memory.
Memory	Memory	max 32	Configuration Rule	Mixing of 3DS and Non 3DS not allowed
Accessories & Infrastructure	System Options	optional	Configuration Rule	Private Product is not valid for current customer account
Memory	Memory Blank Kit	max 1	Configuration Rule	Selection constraint for Memory Blank Kit: max 1
Accessories & Infrastructure	Trusted Supply Chain	max 1	Configuration Rule	Selection constraint for Trusted Supply Chain: max 1
Cables & Enablement Kits	Factory Configuration Settings	max 1	Configuration Rule	Selection constraint for Factory Configuration Settings: max 1
Accessories & Infrastructure	Logical Size Settings	max 1	Configuration Rule	Selection constraint for Logical Size Settings: max 1
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	max 24	Configuration Rule	NVMe Bundle is supported with 8SFF CTO Server Only
Accessories & Infrastructure	System Options	optional	Configuration Rule	EDSFF Bundle is supported with 12EDSFF CTO Server Only
Software & Licenses	Server Management & Operating System Licenses	max 2	Configuration Rule	Selection constraint for Server Management & Operating System Licenses: max 2
Accessories & Infrastructure	vSAN Tracking SKUs	max 1	Configuration Rule	Selection constraint for vSAN Tracking SKUs: max 1
Software & Licenses	iLO Common Password	max 1	Configuration Rule	Selection constraint for iLO Common Password: max 1
Drive Enclosures / Drives	Drive Blank & FIO Enablement Kits	max 24	Configuration Rule	Supported with 8SFF CTO Server only.
Storage Controllers	SAS Controller	max 4	Configuration Rule	Selection constraint for SAS Controller: max 4
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	max 24	Configuration Rule	Gen4 Re timer card is supported with 8SFF CTO Server Only.
PCIe Risers	Energy Star	max 1	Configuration Rule	Gen5 Re timer card is supported with 12EDSFF CTO Server Only.
Storage Controllers	Storage Controller Cables	max 2	Configuration Rule	Mixing of SR series and MR series Tri Mode controllers not allowed
Cables & Enablement Kits	Smart Storage Batteries	max 2	Configuration Rule	Selection constraint for Smart Storage Batteries: max 2
Cables & Enablement Kits	Smart Storage Battery	max 2	Configuration Rule	Max quantity of product limited by space available.
Storage Controllers	Storage Controller Cables	max 2	Configuration Rule	Selection constraint for Storage Controller Cables: max 2
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	max 24	Configuration Rule	This Cable is supported with 8SFF CTO Server Only.
Cables & Enablement Kits	System Options		Configuration Rule	This Cable is supported with 8SFF CTO Server and EDSFF CTO Server Only.
Storage Controllers	Storage Controller Cable Kits	max 4	Configuration Rule	This Cable is supported with 8SFF CTO Server and 24SFF CTO Server Only.
Drive Enclosures / Drives	Solid State Drives (NVMe/SAS/SATA)	max 24	Configuration Rule	Private Product is not valid for current customer account
Storage Controllers	RAID Settings	max 1	Configuration Rule	Selection constraint for RAID Settings: max 1
Drive Enclosures / Drives	Drive Cage	max 8	Configuration Rule	Selection constraint for Drive Cage: max 8
Drive Enclosures / Drives	Drive Cage	max 8	Configuration Rule	Mid Tray can be selected with 205W or below Processors only.
