Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Processor	Processors	max 1	Quantity Constraint	Quantity: max 1
Memory	Memory	max 6	Quantity Constraint	Quantity: max 6
Factory Configuration Settings	Factory Configuration Settings	max 2	Quantity Constraint	Quantity: max 2
Networking	Ethernet PCIe	max 1	Quantity Constraint	Quantity: max 1
Networking	OCP Ethernet	max 1	Quantity Constraint	Quantity: max 1
Networking	Transceivers	max 16	Quantity Constraint	Quantity: max 16
HPE Compute Ops Management	Compute Ops Management SKUs	min 1, Required	Quantity Constraint	Quantity: min 1, Required
Chassis	Variants	min 1, max 1 — Active OCA CTO chassis	Configuration Rule	Select exactly one currently discoverable, non-TAA/non-GTA CTO base chassis
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	max 4	Configuration Rule	Selection constraint for Chassis Infrastructure & Rail Kits: max 4
Accessories & Infrastructure	System Options	optional	Configuration Rule	"HPE DL145 Gen11 Desk/Wall Mount Kit" and "HPE DL145 Gen11 Rack enable kit" cannot be selected together.
Accessories & Infrastructure	Acoustics	max 1	Configuration Rule	Selection constraint for Acoustics: max 1
Processor	Processors	max 1	Configuration Rule	Selection constraint for Processors: max 1
Cooling / Thermal	Heatsink Kit	max 1	Configuration Rule	Selection constraint for Heatsink Kit: max 1
Memory	Memory	max 6	Configuration Rule	Selection constraint for Memory: max 6
Memory	Memory	max 6	Configuration Rule	All DIMMs selected in a server configuration must be of the same part number, capacity size, rank etc.
Memory	Memory	max 6	Configuration Rule	These products are hidden due to Supply constraints
Storage Controllers	SAS Controller	max 2	Configuration Rule	Selection constraint for SAS Controller: max 2
Cables & Enablement Kits	Smart Storage Batteries	max 1	Configuration Rule	Selection constraint for Smart Storage Batteries: max 1
Storage Controllers	Storage Controller Cables	max 1	Configuration Rule	Selection constraint for Storage Controller Cables: max 1
Storage Controllers	RAID Settings	max 1	Configuration Rule	Selection constraint for RAID Settings: max 1
Drive Enclosures / Drives	Drive Cage	max 2	Configuration Rule	Selection constraint for Drive Cage: max 2
Drive Enclosures / Drives	SSD - EDSFF NVME Read Intensive	max 4	Configuration Rule	Selection constraint for SSD - EDSFF NVME Read Intensive: max 4
Drive Enclosures / Drives	SSD - EDSFF NVME Read Intensive	max 4	Configuration Rule	If HPE DL145 Gen11 Opt ACC FIO Config is selected, then these EDSFF drives cannot be selected with direct attach. (Only controller mode).
Drive Enclosures / Drives	SSD - EDSFF NVME Read Intensive	max 4	Configuration Rule	Product is not yet available
Factory Configuration Settings	Factory Configuration Settings	max 2	Configuration Rule	Selection constraint for Factory Configuration Settings: max 2
Cables & Enablement Kits	System Options		Configuration Rule	CE Mark label SKU (P35876-B21) should be visible only when selecting Lot9 SKU's in the configuration
Accessories & Infrastructure	vSAN Tracking SKUs	no max	Configuration Rule	Selection constraint for vSAN Tracking SKUs: no max
Software & Licenses	iLO Common Password	max 1	Configuration Rule	Selection constraint for iLO Common Password: max 1
PCIe Risers	Riser Cards	max 3	Configuration Rule	Selection constraint for Riser Cards: max 3
Networking	Ethernet PCIe	max 1	Configuration Rule	Selection constraint for Ethernet PCIe: max 1
Networking	OCP Ethernet	max 1	Configuration Rule	Selection constraint for OCP Ethernet: max 1
Networking	OCP Ethernet	max 1	Configuration Rule	Max quantity of product limited by space available.
Networking	Transceivers	max 16	Configuration Rule	Selection constraint for Transceivers: max 16
Software & Licenses	VMWare Core Editions	no max	Configuration Rule	Selection constraint for VMWare Core Editions: no max
Cables & Enablement Kits	Solid State Drives (NVMe/SAS/SATA)	max 2	Configuration Rule	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 2
Graphics & GPU	Graphics	max 2	Configuration Rule	Selection constraint for Graphics: max 2
Graphics & GPU	Graphics Accessories	max 2	Configuration Rule	Selection constraint for Graphics Accessories: max 2
Cooling / Thermal	Power Cooling Options	max 4	Configuration Rule	Selection constraint for Power Cooling Options: max 4
Power Supplies	Power Supplies	max 2	Configuration Rule	Selection constraint for Power Supplies: max 2
Power Supplies	-48VDC Power Supplies & Cable Kits	min 1, max 2	Configuration Rule	Mixing of Power Supplies is not allowed.
Cables & Enablement Kits	Power Cords	max 2	Configuration Rule	Selection constraint for Power Cords: max 2
Cables & Enablement Kits	Flex Slot Power Supplies	no max	Configuration Rule	If AC Power Supply is selected then only AC Power Cords should be in the drop-down.
Cables & Enablement Kits	Power Cords & Jumper Cables	no max	Configuration Rule	BTO products are not allowed in CTO Base Model.
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	no max	Configuration Rule	Selection constraint for Chassis Infrastructure & Rail Kits: no max
Cables & Enablement Kits	Management Hardware	max 2	Configuration Rule	Selection constraint for Management Hardware: max 2
HPE Compute Ops Management	Compute Ops Management SKUs	required	Configuration Rule	Selection constraint for Compute Ops Management SKUs: required
Software & Licenses	Server Management & Operating System Licenses	required	Configuration Rule	Selection constraint for Server Management & Operating System Licenses: required
Software & Licenses	SUSE Add-ons	no max	Configuration Rule	Selection constraint for SUSE Add-ons: no max
Software & Licenses	SUSE containers	no max	Configuration Rule	Selection constraint for SUSE containers: no max
Software & Licenses	SUSE SAP Operating Systems	no max	Configuration Rule	Selection constraint for SUSE SAP Operating Systems: no max
Software & Licenses	OneView Management Software	no max	Configuration Rule	Selection constraint for OneView Management Software: no max
Software & Licenses	Integrated Lights Out Software	no max	Configuration Rule	Selection constraint for Integrated Lights Out Software: no max
Software & Licenses	Server Management & Operating System Licenses	no max	Configuration Rule	Selection constraint for Integrated Lights Out Software: no max
Software & Licenses	Proliant Software Media Kits	no max	Configuration Rule	Selection constraint for Proliant Software Media Kits: no max
Software & Licenses	Linux Value Added Software	no max	Configuration Rule	Selection constraint for Linux Value Added Software: no max
Software & Licenses	HPC Software Products	no max	Configuration Rule	Selection constraint for HPC Software Products: no max
Software & Licenses	High Availability Computing - Cluster Software	no max	Configuration Rule	Selection constraint for High Availability Computing - Cluster Software: no max
Software & Licenses	Server Management & Operating System Licenses	max 5994	Configuration Rule	Selection constraint for Partner Software - Operating System 8pks: max 5994
